contract_id,source_ids,decision_ids,lean_model,lean_assurance,rust_implementation,rust_conformance,rust_origin_evidence,rust_origin_assurance,circuit_evidence,circuit_assurance,reduction_evidence,reduction_assurance,blocker_ids
SN-STRONGSET-DIVISOR,"SRC-PAPER-12","","formal/nightstream-lean/Nightstream/SuperNeo/Concrete/Phi81StrongSet.lean:theorem8Conditions_exact;formal/nightstream-lean/Nightstream/SuperNeo/Concrete/Phi81StrongSet.lean:differenceBound_below_goldilocks","open","crates/neo-params/src/lib.rs","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-STRONGSET-DIFFERENCE,"SRC-PAPER-12","","formal/nightstream-lean/Nightstream/SuperNeo/Concrete/Phi81StrongSet.lean:theorem8Conditions_exact;formal/nightstream-lean/Nightstream/SuperNeo/Concrete/Phi81StrongSet.lean:differenceBound_below_goldilocks","open","crates/neo-params/src/lib.rs","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-STRONGSET-EXPANSION,"SRC-PAPER-12","","formal/nightstream-lean/Nightstream/SuperNeo/Concrete/Phi81StrongSet.lean:theorem8Conditions_exact;formal/nightstream-lean/Nightstream/SuperNeo/Concrete/Phi81StrongSet.lean:differenceBound_below_goldilocks","open","crates/neo-params/src/lib.rs","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-MSIS-PARAMETERS,"SRC-PAPER-04;SRC-PAPER-07;SRC-PAPER-12;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/Concrete/Parameters.lean:production_msis_norm_bound","open","crates/neo-ajtai/src/commit.rs","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-RED-STAGE,"SRC-PAPER-04;SRC-PAPER-06","","formal/nightstream-lean/Nightstream/SuperNeo/InteractiveReduction/Paper.lean:ReductionOfKnowledge;formal/nightstream-lean/Nightstream/SuperNeo/InteractiveReduction/KnowledgeComposition.lean:reductionOfKnowledge","open","","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-RED-KNOWLEDGE,"SRC-PAPER-04;SRC-PAPER-06","","formal/nightstream-lean/Nightstream/SuperNeo/InteractiveReduction/Paper.lean:ReductionOfKnowledge;formal/nightstream-lean/Nightstream/SuperNeo/InteractiveReduction/KnowledgeComposition.lean:reductionOfKnowledge","open","","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-RED-SEQUENTIAL,"SRC-PAPER-04;SRC-PAPER-06;SRC-PAPER-12","","formal/nightstream-lean/Nightstream/SuperNeo/InteractiveReduction/Paper.lean:ReductionOfKnowledge;formal/nightstream-lean/Nightstream/SuperNeo/InteractiveReduction/KnowledgeComposition.lean:reductionOfKnowledge","open","","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-RED-RELATIONS,"SRC-PAPER-04;SRC-PAPER-06;SRC-PAPER-07;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/InteractiveReduction/Paper.lean:Strong;formal/nightstream-lean/Nightstream/SuperNeo/InteractiveReduction/Paper.lean:Weak;formal/nightstream-lean/Nightstream/SuperNeo/InteractiveReduction/StrongWeakComposition.lean:reductionOfKnowledge;formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiCCS/PaperJoint/StrongExecution/FinitePaperStrong.lean:outputPhiMismatchProbability_eq_zero","open","","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-RED-PROJECTION,"SRC-PAPER-04;SRC-PAPER-06","","formal/nightstream-lean/Nightstream/SuperNeo/InteractiveReduction/Paper.lean:Strong;formal/nightstream-lean/Nightstream/SuperNeo/InteractiveReduction/Paper.lean:Weak;formal/nightstream-lean/Nightstream/SuperNeo/InteractiveReduction/StrongWeakComposition.lean:reductionOfKnowledge;formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiCCS/PaperJoint/StrongExecution/FinitePaperStrong.lean:outputPhiMismatchProbability_eq_zero","open","","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-RED-STRONG-CONDITIONS,"SRC-PAPER-04;SRC-PAPER-06;SRC-PAPER-07;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/InteractiveReduction/Paper.lean:Strong;formal/nightstream-lean/Nightstream/SuperNeo/InteractiveReduction/Paper.lean:Weak;formal/nightstream-lean/Nightstream/SuperNeo/InteractiveReduction/StrongWeakComposition.lean:reductionOfKnowledge;formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiCCS/PaperJoint/StrongExecution/FinitePaperStrong.lean:outputPhiMismatchProbability_eq_zero","open","","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-RED-WEAK-CONDITIONS,"SRC-PAPER-04;SRC-PAPER-06;SRC-PAPER-07;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/InteractiveReduction/Paper.lean:Strong;formal/nightstream-lean/Nightstream/SuperNeo/InteractiveReduction/Paper.lean:Weak;formal/nightstream-lean/Nightstream/SuperNeo/InteractiveReduction/StrongWeakComposition.lean:reductionOfKnowledge;formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiCCS/PaperJoint/StrongExecution/FinitePaperStrong.lean:outputPhiMismatchProbability_eq_zero","open","","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-SUMCHECK-CLAIM,"SRC-PAPER-04","","formal/nightstream-lean/Nightstream/SuperNeo/SumCheck/VerifierCertificate.lean:check_eq_true_iff_accepted","open","crates/neo-reductions/src/sumcheck.rs:RoundOracle","open","","open","crates/neo-fold-clean/src/paper/reductions/pi_ccs_circuit","open","protocol-contract/security-reduction.md","open",""
SN-SUMCHECK-ROUNDS,"SRC-PAPER-04","","formal/nightstream-lean/Nightstream/SuperNeo/SumCheck/VerifierCertificate.lean:check_eq_true_iff_accepted","open","crates/neo-reductions/src/sumcheck.rs:RoundOracle","open","","open","crates/neo-fold-clean/src/paper/reductions/pi_ccs_circuit","open","protocol-contract/security-reduction.md","open",""
SN-SUMCHECK-SOUNDNESS,"SRC-PAPER-04","","formal/nightstream-lean/Nightstream/SuperNeo/SumCheck/VerifierCertificate.lean:check_eq_true_iff_accepted","open","crates/neo-reductions/src/sumcheck.rs:RoundOracle","open","","open","crates/neo-fold-clean/src/paper/reductions/pi_ccs_circuit","open","protocol-contract/security-reduction.md","open",""
SN-PICCS-POLYNOMIAL,"SRC-PAPER-07;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiCCS/PaperJoint/SignedJointIdentity.lean:paperDifference_eq_signedResidualBlocks","open","crates/neo-reductions/src/engines/paper_exact_engine","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-PICCS-TARGET,"SRC-PAPER-07;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiCCS/PaperJoint/SignedJointIdentity.lean:paperDifference_eq_signedResidualBlocks","open","crates/neo-reductions/src/engines/paper_exact_engine","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-PICCS-EXECUTION,"SRC-PAPER-07;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiCCS/PaperJoint/SignedJointIdentity.lean:paperDifference_eq_signedResidualBlocks","open","crates/neo-reductions/src/engines/paper_exact_engine","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-PICCS-OUTPUT,"SRC-PAPER-07;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiCCS/PaperJoint/SignedJointIdentity.lean:paperDifference_eq_signedResidualBlocks","open","crates/neo-reductions/src/engines/paper_exact_engine","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-PICCS-CHARACTERIZATION,"SRC-PAPER-07;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiCCS/PaperJoint/SignedJointIdentity.lean:paperDifference_eq_signedResidualBlocks","open","crates/neo-reductions/src/engines/paper_exact_engine","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-PICCS-IDENTITY,"SRC-PAPER-07;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiCCS/PaperJoint/SignedJointIdentity.lean:paperDifference_eq_signedResidualBlocks","open","crates/neo-reductions/src/engines/paper_exact_engine","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-PICCS-DEGREE,"SRC-PAPER-07;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiCCS/PaperJoint/ProtocolPolynomialDegree.lean:polynomial_slice_represents","open","crates/neo-reductions/src/engines/pi_ccs_joint.rs:build_joint_dims_for_shape","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-PICCS-LOSSES,"SRC-PAPER-07;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiCCS/PaperJoint/ProtocolPolynomialDegree.lean:polynomial_slice_represents","open","crates/neo-reductions/src/engines/pi_ccs_joint.rs:build_joint_dims_for_shape","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-PICCS-EXTRACTOR-FLOW,"SRC-PAPER-07;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiCCS/PaperJoint/StrongExecution/FinitePaperStrong.lean:finitePaperStrong;formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiCCS/PaperJoint/StrongExecution.lean:ambientSuccess_implies_source_or_badEvent","open","","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-PICCS-EXTRACTOR-TARGET,"SRC-PAPER-07;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiCCS/PaperJoint/StrongExecution/FinitePaperStrong.lean:finitePaperStrong;formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiCCS/PaperJoint/StrongExecution.lean:ambientSuccess_implies_source_or_badEvent","open","","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-PIRLC-DOMAIN,"SRC-PAPER-07;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiRLC/PaperWeakReduction.lean:acceptedFork_extracts_correctedAmbient","open","crates/neo-reductions/src/api.rs:rlc_with_commit","open","","open","crates/neo-fold-clean/src/paper/nifs/circuit/pi_rlc","open","protocol-contract/security-reduction.md","open",""
SN-PIRLC-EQUATIONS,"SRC-PAPER-07;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiRLC/PaperWeakReduction.lean:acceptedFork_extracts_correctedAmbient","open","crates/neo-reductions/src/api.rs:rlc_with_commit","open","","open","crates/neo-fold-clean/src/paper/nifs/circuit/pi_rlc","open","protocol-contract/security-reduction.md","open",""
SN-PIRLC-OUTPUT,"SRC-PAPER-07;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiRLC/PaperWeakReduction.lean:acceptedFork_extracts_correctedAmbient","open","crates/neo-reductions/src/api.rs:rlc_with_commit","open","","open","crates/neo-fold-clean/src/paper/nifs/circuit/pi_rlc","open","protocol-contract/security-reduction.md","open",""
SN-PIRLC-FORK-LOSS,"SRC-PAPER-07;SRC-PAPER-12;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiRLC/PaperForkExtraction.lean:completeFork_implies_correctedAmbientHolds;formal/nightstream-lean/Nightstream/SuperNeo/InteractiveReduction/CoordinateForking.lean:correctedLoss","open","","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-PIRLC-FORK-SET,"SRC-PAPER-12","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiRLC/PaperForkExtraction.lean:completeFork_implies_correctedAmbientHolds;formal/nightstream-lean/Nightstream/SuperNeo/InteractiveReduction/CoordinateForking.lean:correctedLoss","open","","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-PIRLC-AGREEMENT,"SRC-PAPER-07;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiRLC/PaperForkExtraction.lean:completeFork_implies_correctedAmbientHolds;formal/nightstream-lean/Nightstream/SuperNeo/InteractiveReduction/CoordinateForking.lean:correctedLoss","open","","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-PIDEC-SPLIT,"SRC-PAPER-07;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiDEC.lean:reduce_knowledge","open","crates/neo-reductions/src/api/dec.rs:verify_dec_public","open","","open","crates/neo-fold-clean/src/paper/reductions/pi_dec_circuit","open","protocol-contract/security-reduction.md","open",""
SN-PIDEC-EQUATIONS,"SRC-PAPER-07;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiDEC.lean:reduce_knowledge","open","crates/neo-reductions/src/api/dec.rs:verify_dec_public","open","","open","crates/neo-fold-clean/src/paper/reductions/pi_dec_circuit","open","protocol-contract/security-reduction.md","open",""
SN-PIDEC-OUTPUT,"SRC-PAPER-07;SRC-PAPER-13","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiDEC.lean:reduce_knowledge","open","crates/neo-reductions/src/api/dec.rs:verify_dec_public","open","","open","crates/neo-fold-clean/src/paper/reductions/pi_dec_circuit","open","protocol-contract/security-reduction.md","open",""
SN-COMP-ORDER,"SRC-PAPER-02;SRC-PAPER-06;SRC-PAPER-07;SRC-PAPER-12","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiCCS/PaperJoint/StrongExecution/PiRlcComposition/PiDec.lean:finiteReductionOfKnowledge","open","crates/neo-fold-clean/src/paper/nifs","open","","open","crates/neo-fold-clean/src/paper/nifs/circuit","open","protocol-contract/security-reduction.md","open",""
SN-COMP-BINDING,"SRC-PAPER-02;SRC-PAPER-06;SRC-PAPER-07;SRC-PAPER-12","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiCCS/PaperJoint/StrongExecution/PiRlcBatch.lean:batchPhi_eq_piCcsOutputPhi;formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiCCS/PaperJoint/StrongExecution/PiRlcComposition/PiDec.lean:weakSuccess_iff_abortingExtractedSource","open","crates/neo-fold-clean/src/paper/nifs","open","","open","crates/neo-fold-clean/src/paper/nifs/circuit","open","protocol-contract/security-reduction.md","open",""
SN-FOLD-TYPE,"SRC-PAPER-02;SRC-PAPER-04;SRC-PAPER-06;SRC-PAPER-07;SRC-PAPER-12","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/Nifs/PaperProfile.lean:arity;formal/nightstream-lean/Nightstream/SuperNeo/Folding/Nifs/PaperProfile.lean:Output;formal/nightstream-lean/Nightstream/SuperNeo/Folding/Nifs/PaperProfile.lean:complete","open","crates/neo-fold-clean/src/paper/nifs","open","","open","crates/neo-fold-clean/src/paper/nifs/circuit","open","protocol-contract/security-reduction.md","open",""
SN-FOLD-PROOF,"SRC-PAPER-02;SRC-PAPER-04;SRC-PAPER-06;SRC-PAPER-07;SRC-PAPER-12","","formal/nightstream-lean/Nightstream/SuperNeo/Folding/PiCCS/PaperJoint/StrongExecution/PiRlcComposition/PiDec.lean:finiteReductionOfKnowledge","open","crates/neo-fold-clean/src/paper/nifs","open","","open","crates/neo-fold-clean/src/paper/nifs/circuit","open","protocol-contract/security-reduction.md","open",""
SN-SEC-ABSTRACT,"SRC-PAPER-02;SRC-PAPER-06;SRC-PAPER-07;SRC-PAPER-12","","formal/nightstream-lean/Nightstream/Implementation/R1CS/Correspondence/FPrimeFullHistory/SelectiveCcs/PaddedRowIdentityComposition.lean:selectedFiniteReductionThroughPiDec","open","","open","","open","","open","protocol-contract/security-reduction.md","open",""
NS-ALGEBRA-PROFILE,"not-in-paper","NSD-DOMAIN-001;NSD-ENCODING-001","formal/nightstream-lean/Nightstream/SuperNeo/Concrete/Parameters.lean;formal/nightstream-lean/Nightstream/Implementation/R1CS/Correspondence/FPrimeFullHistory/SelectiveCcs/PaddedRowIdentitySecurity.lean","open","crates/neo-params/src/lib.rs","open","","open","","open","protocol-contract/security-reduction.md","open",""
NS-SHAPE-LOGICAL,"not-in-paper","NSD-CARRIER-001;NSD-DOMAIN-001","","open","","open","","open","","open","","open",""
NS-SHAPE-PADDING,"not-in-paper","NSD-DOMAIN-001;NSD-DOMAIN-MAP-001","","open","","open","","open","","open","","open",""
NS-SHAPE-IDENTITY,"not-in-paper","NSD-DOMAIN-MAP-001;NSD-NORM-BINDING-001","","open","","open","","open","","open","","open",""
NS-SHAPE-POLYNOMIAL,"not-in-paper","NSD-DOMAIN-MAP-001;NSD-PICCS-001","","open","","open","","open","","open","","open",""
NS-PUBLIC-CARRIER,"not-in-paper","NSD-AUTHORITY-001;NSD-CARRIER-001","formal/nightstream-lean/Nightstream/SuperNeo/Concrete/Phi81Relation/FPrimeCarrier270/LogicalCarrier.lean;formal/nightstream-lean/Nightstream/Implementation/R1CS/Correspondence/FPrimeFullHistory/SelectiveCcs/PaddedRowIdentityConcreteAlgebra.lean","open","crates/neo-fold-clean/src/frontends/r1cs_f_prime/lean_native_ccs_manifest.rs","open","","open","crates/neo-fold-clean/src/paper/reductions/pi_ccs_circuit","open","protocol-contract/security-reduction.md","open",""
NS-SPLIT-BINARY,"not-in-paper","NSD-SPLIT-001","formal/nightstream-lean/Nightstream/SuperNeo/Concrete/Phi81Relation/PiDECAlgebra/Radix.lean","open","crates/neo-reductions/src/common.rs","open","","open","crates/neo-fold-clean/src/paper/reductions/pi_dec_circuit","open","protocol-contract/security-reduction.md","open",""
NS-COMMITMENT-PROFILE,"not-in-paper","NSD-AUTHORITY-001;NSD-ENCODING-001","","open","","open","","open","","open","","open",""
NS-PICCS-VARIANT,"not-in-paper","NSD-NORM-BINDING-001;NSD-PICCS-001","","open","","open","","open","","open","","open",""
NS-PICCS-PADDING-EQUIVALENCE,"not-in-paper","NSD-DOMAIN-MAP-001;NSD-NORM-BINDING-001","","open","","open","","open","","open","","open",""
NS-PICCS-COINS,"not-in-paper","NSD-BATCH-COINS-001;NSD-TRANSCRIPT-001","","open","","open","","open","","open","","open",""
NS-PICCS-SUMCHECK,"not-in-paper","NSD-ENCODING-001;NSD-PICCS-001;NSD-TRANSCRIPT-001","","open","","open","","open","","open","","open",""
NS-PICCS-TERMINAL,"not-in-paper","NSD-AUTHORITY-001;NSD-ENCODING-001;NSD-PICCS-001","","open","","open","","open","","open","","open",""
NS-PICCS-NORM-BINDING,"not-in-paper","NSD-AUTHORITY-001;NSD-NORM-BINDING-001","","open","","open","","open","","open","","open",""
NS-PICCS-NO-COLUMN,"not-in-paper","NSD-COLUMN-001;NSD-COLUMN-MAP-001","","open","","open","","open","","open","","open",""
NS-PICCS-CENSUS,"not-in-paper","NSD-DOMAIN-MAP-001;NSD-SECURITY-001","","open","","open","","open","","open","","open",""
NS-PIRLC-PROFILE,"not-in-paper","NSD-SAMPLER-001;NSD-TRANSCRIPT-001","","open","","open","","open","","open","","open",""
NS-PIDEC-PROFILE,"not-in-paper","NSD-AUTHORITY-001;NSD-SPLIT-001","","open","","open","","open","","open","","open",""
NS-RED-PADDED-RELATIONS,"not-in-paper","NSD-NORM-BINDING-001;NSD-REDUCTION-FRAMEWORK-001","","open","","open","","open","","open","","open",""
NS-RED-COMPOSITION,"not-in-paper","NSD-BATCH-COINS-001;NSD-COLUMN-001;NSD-REDUCTION-FRAMEWORK-001","","open","","open","","open","","open","","open",""
NS-AUTH-STRUCTURE,"not-in-paper","NSD-AUTHORITY-001;NSD-ENCODING-001","formal/nightstream-lean/Nightstream/Assurance/RelationArtifactBinding.lean:accepted_eq_authoritative;formal/nightstream-lean/Nightstream/Assurance/RelationArtifactBinding.lean:changed_rejects","open","crates/neo-fold-clean/src/relation_artifact.rs:VerifierKeyRelationArtifact;crates/neo-fold-clean/src/frontends/r1cs_f_prime/relation_artifact.rs:validate_relation_artifact_json","open","crates/neo-fold-clean/tests/system/relation_artifact.rs;protocol-contract/check_relation_artifact_evidence.py","open","crates/neo-fold-clean/src/paper/nifs/circuit","open","protocol-contract/security-reduction.md","open",""
NS-AUTH-CLAIM,"not-in-paper","NSD-AUTHORITY-001;NSD-COLUMN-001","formal/nightstream-lean/Nightstream/Protocol/FPrime/Authority.lean","open","crates/neo-ccs/src/relations.rs","open","","open","crates/neo-fold-clean/src/paper/nifs/circuit","open","protocol-contract/security-reduction.md","open",""
NS-AUTH-DERIVED,"not-in-paper","NSD-AUTHORITY-001;NSD-HASH-001;NSD-PROVENANCE-001","formal/nightstream-lean/Nightstream/Protocol/FPrime/Authority.lean","open","crates/neo-ccs/src/relations.rs","open","","open","crates/neo-fold-clean/src/paper/nifs/circuit","open","protocol-contract/security-reduction.md","open",""
NS-ENC-BASE,"not-in-paper","NSD-ENCODING-001","formal/nightstream-lean/Nightstream/SuperNeo/Concrete/Parameters.lean","open","crates/neo-math;crates/neo-transcript","open","","open","crates/neo-fold-clean/src/engine/r1cs_circuit","open","protocol-contract/security-reduction.md","open",""
NS-ENC-EXTENSION,"not-in-paper","NSD-ENCODING-001","formal/nightstream-lean/Nightstream/SuperNeo/Concrete/Parameters.lean","open","crates/neo-math;crates/neo-transcript","open","","open","crates/neo-fold-clean/src/engine/r1cs_circuit","open","protocol-contract/security-reduction.md","open",""
NS-ENC-RING,"not-in-paper","NSD-ENCODING-001","formal/nightstream-lean/Nightstream/SuperNeo/Concrete/Parameters.lean","open","crates/neo-math;crates/neo-transcript","open","","open","crates/neo-fold-clean/src/engine/r1cs_circuit","open","protocol-contract/security-reduction.md","open",""
NS-ENC-CONTAINER,"not-in-paper","NSD-ENCODING-001;NSD-TRANSCRIPT-001","formal/nightstream-lean/Nightstream/SuperNeo/Concrete/Parameters.lean","open","crates/neo-math;crates/neo-transcript","open","","open","crates/neo-fold-clean/src/engine/r1cs_circuit","open","protocol-contract/security-reduction.md","open",""
NS-ENC-STRUCTURE,"not-in-paper","NSD-AUTHORITY-001;NSD-ENCODING-001","formal/nightstream-lean/Nightstream/SuperNeo/Concrete/Parameters.lean","open","crates/neo-ccs/src/relations.rs","open","","open","crates/neo-fold-clean/src/paper/nifs/circuit","open","protocol-contract/security-reduction.md","open",""
NS-ENC-COMMITMENT,"not-in-paper","NSD-ENCODING-001","formal/nightstream-lean/Nightstream/SuperNeo/Concrete/Parameters.lean","open","crates/neo-math;crates/neo-transcript","open","","open","crates/neo-fold-clean/src/engine/r1cs_circuit","open","protocol-contract/security-reduction.md","open",""
NS-POSEIDON-PARAMETERS,"not-in-paper","NSD-HASH-001;NSD-TRANSCRIPT-001","formal/nightstream-lean/Nightstream/SuperNeo/Folding/Nifs/NonInteractive","open","crates/neo-transcript;crates/neo-fold-clean/src/engine/transcript.rs","open","","open","crates/neo-fold-clean/src/engine/r1cs_circuit/transcript.rs","open","protocol-contract/security-reduction.md","open",""
